ClockPeriod,InputDelay,OutputDelay,Area,Power,Time
1000,0.1,0.1,459,2663.924,1000000
1000,0.1,0.2,459,2663.924,1000000
1000,0.1,0.3,459,2663.924,1000000
1000,0.1,0.4,459,2663.924,1000000
1000,0.1,0.5,459,2663.924,1000000
1000,0.1,0.6,459,2663.924,1000000
1000,0.1,0.7,459,2663.924,1000000
1000,0.1,0.8,459,2663.924,1000000
1000,0.1,0.9,459,2663.924,1000000
1000,0.1,1,459,2663.924,1000000
1000,0.2,0.1,459,2663.924,1000000
1000,0.2,0.2,459,2663.924,1000000
1000,0.2,0.3,459,2663.924,1000000
1000,0.2,0.4,459,2663.924,1000000
1000,0.2,0.5,459,2663.924,1000000
1000,0.2,0.6,459,2663.924,1000000
1000,0.2,0.7,459,2663.924,1000000
1000,0.2,0.8,459,2663.924,1000000
1000,0.2,0.9,459,2663.924,1000000
1000,0.2,1,459,2663.924,1000000
1000,0.3,0.1,459,2663.924,1000000
1000,0.3,0.2,459,2663.924,1000000
1000,0.3,0.3,459,2663.924,1000000
1000,0.3,0.4,459,2663.924,1000000
1000,0.3,0.5,459,2663.924,1000000
1000,0.3,0.6,459,2663.924,1000000
1000,0.3,0.7,459,2663.924,1000000
1000,0.3,0.8,459,2663.924,1000000
1000,0.3,0.9,459,2663.924,1000000
1000,0.3,1,459,2663.924,1000000
1000,0.4,0.1,459,2663.924,1000000
1000,0.4,0.2,459,2663.924,1000000
1000,0.4,0.3,459,2663.924,1000000
1000,0.4,0.4,459,2663.924,1000000
1000,0.4,0.5,459,2663.924,1000000
1000,0.4,0.6,459,2663.924,1000000
1000,0.4,0.7,459,2663.924,1000000
1000,0.4,0.8,459,2663.924,1000000
1000,0.4,0.9,459,2663.924,1000000
1000,0.4,1,459,2663.924,1000000
1000,0.5,0.1,459,2663.924,1000000
1000,0.5,0.2,459,2663.924,1000000
1000,0.5,0.3,459,2663.924,1000000
1000,0.5,0.4,459,2663.924,1000000
1000,0.5,0.5,459,2663.924,1000000
1000,0.5,0.6,459,2663.924,1000000
1000,0.5,0.7,459,2663.924,1000000
1000,0.5,0.8,459,2663.924,1000000
1000,0.5,0.9,459,2663.924,1000000
1000,0.5,1,459,2663.924,1000000
1000,0.6,0.1,459,2663.924,1000000
1000,0.6,0.2,459,2663.924,1000000
