ClockPeriod,InputDelay,OutputDelay,Area,Power,Time
1000,0.1,0.1,196,1923.13,2237
1000,0.1,0.2,196,1923.13,2237
1000,0.1,0.3,196,1923.13,2237
1000,0.1,0.4,196,1923.13,2237
1000,0.1,0.5,196,1923.13,2237
1000,0.1,0.6,196,1923.13,2237
1000,0.1,0.7,196,1923.13,2237
1000,0.1,0.8,196,1923.13,2237
1000,0.1,0.9,196,1923.13,2237
1000,0.1,1,196,1923.13,2237
1000,0.2,0.1,196,1923.13,2337
1000,0.2,0.2,196,1923.13,2337
1000,0.2,0.3,196,1923.13,2337
1000,0.2,0.4,196,1923.13,2337
1000,0.2,0.5,196,1923.13,2337
1000,0.2,0.6,196,1923.13,2337
1000,0.2,0.7,196,1923.13,2337
1000,0.2,0.8,196,1923.13,2337
1000,0.2,0.9,196,1923.13,2337
1000,0.2,1,196,1923.13,2337
1000,0.3,0.1,196,1923.13,2437
1000,0.3,0.2,196,1923.13,2437
1000,0.3,0.3,196,1923.13,2437
1000,0.3,0.4,196,1923.13,2437
1000,0.3,0.5,196,1923.13,2437
1000,0.3,0.6,196,1923.13,2437
1000,0.3,0.7,196,1923.13,2437
1000,0.3,0.8,196,1923.13,2437
1000,0.3,0.9,196,1923.13,2437
1000,0.3,1,196,1923.13,2437
1000,0.4,0.1,196,1923.13,2537
1000,0.4,0.2,196,1923.13,2537
1000,0.4,0.3,196,1923.13,2537
1000,0.4,0.4,196,1923.13,2537
1000,0.4,0.5,196,1923.13,2537
1000,0.4,0.6,196,1923.13,2537
1000,0.4,0.7,196,1923.13,2537
1000,0.4,0.8,196,1923.13,2537
1000,0.4,0.9,196,1923.13,2537
1000,0.4,1,196,1923.13,2537
1000,0.5,0.1,196,1923.13,2637
1000,0.5,0.2,196,1923.13,2637
1000,0.5,0.3,196,1923.13,2637
1000,0.5,0.4,196,1923.13,2637
1000,0.5,0.5,196,1923.13,2637
1000,0.5,0.6,196,1923.13,2637
1000,0.5,0.7,196,1923.13,2637
1000,0.5,0.8,196,1923.13,2637
1000,0.5,0.9,196,1923.13,2637
1000,0.5,1,196,1923.13,2637
1000,0.6,0.1,196,1923.13,2737
1000,0.6,0.2,196,1923.13,2737
1000,0.6,0.3,196,1923.13,2737
1000,0.6,0.4,196,1923.13,2737
1000,0.6,0.5,196,1923.13,2737
1000,0.6,0.6,196,1923.13,2737
1000,0.6,0.7,196,1923.13,2737
1000,0.6,0.8,196,1923.13,2737
1000,0.6,0.9,196,1923.13,2737
1000,0.6,1,196,1923.13,2737
1000,0.7,0.1,196,1923.13,2837
1000,0.7,0.2,196,1923.13,2837
1000,0.7,0.3,196,1923.13,2837
1000,0.7,0.4,196,1923.13,2837
